ของกิ๋นคนเมือง,จรัล มโนเพ็ชร,
คนลุงลัง,จรัล มโนเพ็ชร,
คิดถึง,จรัล มโนเพ็ชร,
เจ้าดวงดอกไม้,จรัล มโนเพ็ชร,
ฉันคือบุญชู,จรัล มโนเพ็ชร,
ซื้อฝัน,จรัล มโนเพ็ชร,
ดักไซ,จรัล มโนเพ็ชร,
ดาวบนดอย,จรัล มโนเพ็ชร,
ตากับหลาน,จรัล มโนเพ็ชร,
น้อยใจยา,จรัล มโนเพ็ชร,
ในอ้อมกอดรัก,จรัล มโนเพ็ชร,
บ้านบนดอย,จรัล มโนเพ็ชร,
บ้านป่าเมืองดอย,จรัล มโนเพ็ชร,
ม่อฮ่อม,จรัล มโนเพ็ชร,
ยินดีต้อนรับ,จรัล มโนเพ็ชร,
ล่องแม่ปิง,จรัล มโนเพ็ชร,
ล้านนา,จรัล มโนเพ็ชร,
ลุงต๋าคำ,จรัล มโนเพ็ชร,
ลูกข้าวนึ่ง,จรัล มโนเพ็ชร,
เลี้ยงควาย,จรัล มโนเพ็ชร,
สาวมอเตอร์ไซค์,จรัล มโนเพ็ชร,
หนุ่มเชียงใหม่,จรัล มโนเพ็ชร,
หัดกีต้าร์,จรัล มโนเพ็ชร,
อาขยานล้านนา,จรัล มโนเพ็ชร,
อุ๊ยคำ,จรัล มโนเพ็ชร,
แอ่วสาว,จรัล มโนเพ็ชร,
ฮานี้บ่าเอ้ย,จรัล มโนเพ็ชร,
กระทงเสี่ยงทาย,จ๊อบ - จอย,
อะเมซิ่งอีสาน,จ๊อบ - จอย,
ก็พี่เจ้าชู้,จอมขวัญ กัลยา,
กลับมานับหนึ่งที่บึงสีไฟ,จอมขวัญ กัลยา,
กับข้าวฝีมือแม่,จอมขวัญ กัลยา,
ขอบคุณชุมทางดาวทอง,จอมขวัญ กัลยา,
คนไทยรักเมืองไทย,จอมขวัญ กัลยา,
คอยไม่ไหว,จอมขวัญ กัลยา,
จอมขวัญกลองยาว,จอมขวัญ กัลยา,
จอมขวัญรำวง,จอมขวัญ กัลยา,
เชิญเที่ยวเมืองพิจิตร,จอมขวัญ กัลยา,
ซื้อผ้าไทยไปฝากแม่,จอมขวัญ กัลยา,
เดี๋ยวก็ดีเอง,จอมขวัญ กัลยา,
โดนเลย,จอมขวัญ กัลยา,
ท้อได้แต่อย่าถอย,จอมขวัญ กัลยา,
ทุกเส้นทางเคียงข้างเธอ,จอมขวัญ กัลยา,
นางฟ้าหน้านาค,จอมขวัญ กัลยา,
มะลิหลังบ้าน,จอมขวัญ กัลยา,
รอพี่ที่พิษณุโลก,จอมขวัญ กัลยา,
รอรักที่ตากฟ้า,จอมขวัญ กัลยา,
รำลึกพ่อตากสิน,จอมขวัญ กัลยา,
โรงทานงานบุญ,จอมขวัญ กัลยา,
สาวดำเนิน,จอมขวัญ กัลยา,
สาวตาคลี,จอมขวัญ กัลยา,
สาวลำน้ำยม หนุ่มลำน้ำน่าน,จอมขวัญ กัลยา,
หนึ่งในโลกาคือแม่,จอมขวัญ กัลยา,
อย่าลืม,จอมขวัญ กัลยา,
อยู่นานก็จำเจ จากให้เจ็บดีกว่า,จอมขวัญ กัลยา,
โชคดีที่เจอ,จอย หทัยทิพย์ สีสังข์,
ทั้งรักทั้งเกลียด,จอร์ช เบญจ,
สิ้นกลิ่นดิน,จอร์ช เบญจ,
สิ้นเยื้อขาดใย,จอร์ช เบญจ,
ขวัญใจเซลล์แมน,จันทรา ธีรวรรณ,
เงินซื้อฉันไม่ได้,จันทรา ธีรวรรณ,
แฟนพุ่มพวง,จันทรา ธีรวรรณ,
แม่จ๋าหนูเหงา,จันทรา ธีรวรรณ,
ยกทัพกลับอีสาน,จันทรา ธีรวรรณ,
กลองยาวสงกรานต์,จันทรา ธีรวรรณ+พลอยดี ศรีฟ้า,
ฉิ่งฉับทัวร์,จันทรา ธีรวรรณ+พลอยดี ศรีฟ้า,
เที่ยวละไมไทยเรา,จันทรา ธีรวรรณ+พลอยดี ศรีฟ้า,
ระฆังใจ,จันทรา ธีรวรรณ+พลอยดี ศรีฟ้า,
สงกรานต์บ้านนา,จันทรา ธีรวรรณ+พลอยดี ศรีฟ้า,
สวัสดีปีใหม่,จันทรา ธีรวรรณ+พลอยดี ศรีฟ้า,
แห่ขันหมาก,จันทรา ธีรวรรณ+พลอยดี ศรีฟ้า,
แฮปปี้เบริดเดย์,จันทรา ธีรวรรณ+พลอยดี ศรีฟ้า,
ช่วยเลิกกับเขาเพื่อรักของเราได้ไหม,จา เทพบุตร,
ขอบใจเด้อหมู่,จ่าส่ง ร็อคออนซอน,
แข็งแต่ปาก,จ่าส่ง ร็อคออนซอน,
แค่คนจะไป,จ่าส่ง ร็อคออนซอน,
โจรตาเดียว,จ่าส่ง ร็อคออนซอน,
ต้มงูสิง,จ่าส่ง ร็อคออนซอน,
ถืกตั๋วเป็นผัวน้อย,จ่าส่ง ร็อคออนซอน,
ปรบมือข้างเดียว,จ่าส่ง ร็อคออนซอน,
ปล่อยใจให้โบยบิน,จ่าส่ง ร็อคออนซอน,
ไปไล่แย้,จ่าส่ง ร็อคออนซอน,
ผมมันไม่ดี,จ่าส่ง ร็อคออนซอน,
เมียจ้างเหล้า,จ่าส่ง ร็อคออนซอน,
เมียซิ่ง,จ่าส่ง ร็อคออนซอน,
ยืดอกเจ็บ,จ่าส่ง ร็อคออนซอน,
รักแฟนเขา,จ่าส่ง ร็อคออนซอน,
สิให้ดีซ่ำใด๋,จ่าส่ง ร็อคออนซอน,
สีนานวล,จ่าส่ง ร็อคออนซอน,
เสือเฒ่า,จ่าส่ง ร็อคออนซอน,
อ้ายขีนบ่ได้,จ่าส่ง ร็อคออนซอน,
อ้ายสิโสเจ็บ,จ่าส่ง ร็อคออนซอน,
ฮักสาวขะแมร์,จ่าส่ง ร็อคออนซอน,
ตำจอก,จ่าหรีด อุดร,
ฮัดเช้ยที่รัก,จิ้งหรีดขาว วงศ์เทวัญ,
คนจนทนเศร้า,จินตรา พูนลาภ,
กลัวกรุงเทพฯ,จีระพันธ์ วีระพงษ์,
ไก่นาตาฟาง,จีระพันธ์ วีระพงษ์,
ของฟรี,จีระพันธ์ วีระพงษ์,
ขอพบเธอครึ่งนาที,จีระพันธ์ วีระพงษ์,
ขาอ่อนเงินล้าน,จีระพันธ์ วีระพงษ์,
คนจนไม่หวาน,จีระพันธ์ วีระพงษ์,
เจ้าซินอนกอดไผ,จีระพันธ์ วีระพงษ์,
เจ้าทึ่ม,จีระพันธ์ วีระพงษ์,
เจ้าสินอนกอดไผ,จีระพันธ์ วีระพงษ์,
ซึงเซาโซโซ,จีระพันธ์ วีระพงษ์,
แท็กซี่ป้ายเหลือง,จีระพันธ์ วีระพงษ์,
นางเอกสี่จอ,จีระพันธ์ วีระพงษ์,
บ๊าย บาย ผู้หญิง,จีระพันธ์ วีระพงษ์,
ผู้หญิงใจดำ,จีระพันธ์ วีระพงษ์,
มาดามดิงดอง,จีระพันธ์ วีระพงษ์,
เมษาเศร้า,จีระพันธ์ วีระพงษ์,
ยิ้มระดับโลก,จีระพันธ์ วีระพงษ์,
รักกันทำไม,จีระพันธ์ วีระพงษ์,
รักเธอไม่ได้,จีระพันธ์ วีระพงษ์,
เว้ากันบ่ได้,จีระพันธ์ วีระพงษ์,
หัวใจชั่ว,จีระพันธ์ วีระพงษ์,
โห่! กำนัน,จีระพันธ์ วีระพงษ์,
ช็อต,จุลินทรีย์,
โซเชี่ยล,จุลินทรีย์,
มันไม่รักกูแล้ว,จุลินทรีย์,
แม่เฒ่า,จุลินทรีย์,
สถานะแฟนเก่า,จุลินทรีย์,
ไอยะตัวไหร,จุลินทรีย์,
เจ้อยากตาย,เจนนีเฟอร์ เป็ก(เป๊กตีสิบ),
ดิ้นมาดิ้นไป,เจเนตเขียว,
หน้าฮ้านประหารใจ,เจมส์บอล ธนกิจ,
เจ้าชู้แหละดูออก,เจลลี่ วี,
นางยักษ์,เจี๊ยบ เบญจพร,
แฟนหนุ่มเรืออวน,เจี๊ยบ เบญจพร,
อายความจริง,เจี๊ยบ เบญจพร,
ลองแลไม่ได้,เจี๊ยบ เบญจา,
คิดถึงน้องนุ้ย,แจ๊ค ธนพล,
คืนเหงาเหล้าหวาน,แจ๊ค ธนพล,
ดอกไม้ริมทาง,แจ๊ค ธนพล,
ตะรางหัวใจ,แจ๊ค ธนพล,
ตำนานอโยธยา,แจ๊ค ธนพล,
ปั๊กเข้าให้,แจ๊ค ธนพล,
สะโพกสลาตัน,แจ็ค ปริญญา,
เจ็บนิดหนึ่ง...แต่คิดถึงเหลือเกิน,ใจแก้ว ณัฐกานต์,
เรียกพี่ชายก็อายปาก เรียกที่รักก็อายใจ,ใจแก้ว ณัฐกานต์,
คนละชั้น,ฉัตรชัย มงคลทอง,
คิดถึง,ฉัตรชัย มงคลทอง,
จุดด่างบนทางรัก,ฉัตรชัย มงคลทอง,
ตรงสัญญา,ฉัตรชัย มงคลทอง,
ตลุงผ้าถุงลาย,ฉัตรชัย มงคลทอง,
น้องสาวเหอ,ฉัตรชัย มงคลทอง,
ปลดเบอร์,ฉัตรชัย มงคลทอง,
เป็นได้แค่เพื่อน,ฉัตรชัย มงคลทอง,
ผัวหยบๆ,ฉัตรชัย มงคลทอง,
เสน่ห์สาวใต้,ฉัตรชัย มงคลทอง,
หนำไม้ไผ่,ฉัตรชัย มงคลทอง,
อย่าทำน้องเหอ,ฉัตรชัย มงคลทอง,
กลับสาเด้อหล่า,เฉลิมพล มาลาคำ,
คนอีสาน,เฉลิมพล มาลาคำ,
น้ำตกสาริกา,ชรินทร์ งามเมือง,
บางหลวง,ชรินทร์ นันทนาคร,
เพียงชั่วฝัน,ชรินทร์ นันทนาคร,
ยิ้มทั้งน้ำตา,ชรินทร์ นันทนาคร,
ลานเท,ชรินทร์ นันทนาคร,
เหนือเกล้า,ชรินทร์ นันทนาคร,
แฟนเก่าเมื่อครั้งก่อน,ชัชชัย ชัชวาล,
บวชแล้วต้องขอเบียด,ชัยชนะ บุญนะโชติ,
รักเธอเท่าฟ้า,ชัยชนะ บุญนะโชติ,
ปลากินดาว,ชาง ซาไก,
ผู้ชายขายนํ้า,ชาง ซาไก,
