ฮักสาวขอนแก่น-หนุ่มหมอแคน,"มนต์สิทธิ์ คำสร้อย,เกษม คมสันต์,ดำรง วงศ์ทอง,สมชาย ไทรงาม,ฝน ธนสุนทร,บุญตา เมืองใหม่, อัมพร แหวนเพชร,แอร์ สุชาวดี",
ฉันทนาที่รัก,"มนต์สิทธิ์ คำสร้อย,เกษม คมสันต์,ดำรง วงศ์ทอง,สำราญ บุญลาภ",
ดื่มเหล้าเผากลุ้ม,"มนต์สิทธิ์ คำสร้อย,เกษม คมสันต์,ดำรง วงศ์ทอง,สำราญ บุญลาภ",
ฝนตกฟ้าร้อง,"มนต์สิทธิ์ คำสร้อย,เกษม คมสันต์,ดำรง วงศ์ทอง,สำราญ บุญลาภ",
รักน้องพร,"มนต์สิทธิ์ คำสร้อย,เกษม คมสันต์,ดำรง วงศ์ทอง,สำราญ บุญลาภ",
รักเพราะรอยยิ้ม,"มนต์สิทธิ์ คำสร้อย,เกษม คมสันต์,ดำรง วงศ์ทอง,สำราญ บุญลาภ",
ห้องนอนคนจน,"มนต์สิทธิ์ คำสร้อย,เกษม คมสันต์,ดำรง วงศ์ทอง,สำราญ บุญลาภ",
ค่าน้ำนม,มนต์สิทธิ์ คำสร้อย-ดำรง วงศ์ทอง,
ชมทุ่ง,มนต์สิทธิ์ คำสร้อย ดำรง วงศ์ทอง,
ผ้าขาวม้า,มนต์สิทธิ์ คำสร้อย ดำรง วงศ์ทอง,
แฟนเขาทั้งนั้น,"มนต์สิทธิ์ คำสร้อย, ดำรง วงศ์ทอง",
มาลัยน้ำใจ,มนต์สิทธิ์ คำสร้อย ดำรง วงศ์ทอง,
แอบฝัน-รักเดียวใจเดียว,"มนต์สิทธิ์ คำสร้อย,ฝน ธนสุนทร,เกษม คมสันต์,บุญตา เมืองใหม่,ดำรง วงศ์ทอง,อัมพร แหวนเพชร",
บ่อสร้างกางจ้อง,"มนต์สิทธิ์ คำสร้อย,ฝน ธนสุนทร,ไอดิน อภินันท์,อั้ม นันทิยา,ตุ้ม พิชิตชัย,ไชโย ธนาวัฒน์,ศล อำพัน,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,โรส บุญเจริญ,เดียร์ ดารินทร์,ยิ้ม สุทธิดา,จ่าส่ง ร็อคออนซอน",
แอบฝัน-รักเดียวใจเดียว,"มนต์สิทธิ์ คำสร้อย,ฝน ธนสุนทร,ไอดิน อภินันท์,อั้ม นันทิยา,ตุ้ม พิชิตชัย,ไชโย ธนาวัฒน์,ศล อำพัน,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,โรส บุญเจริญ,เดียร์ ดารินทร์,ยิ้ม สุทธิดา,จ่าส่ง ร็อคออนซอน",
เฮฮาปาร์ตี้ (แฮปปี้ทูเดย์),"มนต์สิทธิ์ คำสร้อย,ฝน ธนสุนทร,ไอดิน อภินันท์,อั้ม นันทิยา,ตุ้ม พิชิตชัย,ไชโย ธนาวัฒน์,ศล อำพัน,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,โรส บุญเจริญ,เดียร์ ดารินทร์,ยิ้ม สุทธิดา,จ่าส่ง ร็อคออนซอน",
พ่อ,"มนต์สิทธิ์ คำสร้อย,ฝน ธนสุนทร,ไอดิน อภินันท์,อั้ม นันทิยา,ตุ้ม พิชิตชัย,อ๊อฟ-ศุภณัฐ AF2,หนิม- คนึงพิมพ์ AF5,ฝ้าย-ณัฏฐพัชร AF4",
สัญญารักน้ำอ้อย,มนต์สิทธิ์ คำสร้อย อั้ม นันทิยา,
แขกขายมุ้ง,"มนต์สิทธิ์ คำสร้อย,ไอดิน อภินันท์,ไชโย ธนาวัฒน์,ตุ้ม พิชิตชัย,ศล อำพัน,ศักดา คำพิมูล,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,จ่าส่ง ร็อคออนซอน",
ไข่มดแดง,"มนต์สิทธิ์ คำสร้อย,ไอดิน อภินันท์,ไชโย ธนาวัฒน์,ตุ้ม พิชิตชัย,ศล อำพัน,ศักดา คำพิมูล,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,จ่าส่ง ร็อคออนซอน",
เซ็นเบิ๊ดปี,"มนต์สิทธิ์ คำสร้อย,ไอดิน อภินันท์,ไชโย ธนาวัฒน์,ตุ้ม พิชิตชัย,ศล อำพัน,ศักดา คำพิมูล,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,จ่าส่ง ร็อคออนซอน",
น้ำในคลอง,"มนต์สิทธิ์ คำสร้อย,ไอดิน อภินันท์,ไชโย ธนาวัฒน์,ตุ้ม พิชิตชัย,ศล อำพัน,ศักดา คำพิมูล,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,จ่าส่ง ร็อคออนซอน",
มันมากับความเมา,"มนต์สิทธิ์ คำสร้อย,ไอดิน อภินันท์,ไชโย ธนาวัฒน์,ตุ้ม พิชิตชัย,ศล อำพัน,ศักดา คำพิมูล,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,จ่าส่ง ร็อคออนซอน",
เมียห่าว,"มนต์สิทธิ์ คำสร้อย,ไอดิน อภินันท์,ไชโย ธนาวัฒน์,ตุ้ม พิชิตชัย,ศล อำพัน,ศักดา คำพิมูล,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,จ่าส่ง ร็อคออนซอน",
รักจางที่บางปะกง,"มนต์สิทธิ์ คำสร้อย,ไอดิน อภินันท์,ไชโย ธนาวัฒน์,ตุ้ม พิชิตชัย,ศล อำพัน,ศักดา คำพิมูล,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,จ่าส่ง ร็อคออนซอน",
สาวซำน้อย,"มนต์สิทธิ์ คำสร้อย,ไอดิน อภินันท์,ไชโย ธนาวัฒน์,ตุ้ม พิชิตชัย,ศล อำพัน,ศักดา คำพิมูล,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,จ่าส่ง ร็อคออนซอน",
หนุ่มอีสานแอ่วเหนือ,"มนต์สิทธิ์ คำสร้อย,ไอดิน อภินันท์,ไชโย ธนาวัฒน์,ตุ้ม พิชิตชัย,ศล อำพัน,ศักดา คำพิมูล,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,จ่าส่ง ร็อคออนซอน",
ห้องนอนคนจน,"มนต์สิทธิ์ คำสร้อย,ไอดิน อภินันท์,ไชโย ธนาวัฒน์,ตุ้ม พิชิตชัย,ศล อำพัน,ศักดา คำพิมูล,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,จ่าส่ง ร็อคออนซอน",
ไอ้หนุ่มต.ช.ด.,"มนต์สิทธิ์ คำสร้อย,ไอดิน อภินันท์,ไชโย ธนาวัฒน์,ตุ้ม พิชิตชัย,ศล อำพัน,ศักดา คำพิมูล,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,จ่าส่ง ร็อคออนซอน",
ไอ้หนุ่มหน้าบ้าน,"มนต์สิทธิ์ คำสร้อย,ไอดิน อภินันท์,ไชโย ธนาวัฒน์,ตุ้ม พิชิตชัย,ศล อำพัน,ศักดา คำพิมูล,ซอ เกษตรวิสัย,แฟรงค์ แวงน้อย,จ่าส่ง ร็อคออนซอน",
คนละทาง,มยุรา ฟ้าสีทอง,
คาซอย,มยุรา ฟ้าสีทอง,
จึ๊ก จึ๊ก จึ๊ก,มยุรา ฟ้าสีทอง,
ทหารใหม่ไปกอง,มยุรา ฟ้าสีทอง,
โบว์แดงแสลงใจ,มยุรา ฟ้าสีทอง,
โป้งชึ่ง,มยุรา ฟ้าสีทอง,
โป๊งชึ่งทั่วไทย,มยุรา ฟ้าสีทอง,
ไฟดวงใหม่,มยุรา ฟ้าสีทอง,
โสดมีมั๊ย,มยุรา ฟ้าสีทอง,
สาวบ้านบึง,ม.ร.ว. ถนัดศรี สวัสดิวัฒน์,
36000 นาที,มอร์แกน,
ขั้นเทพ,มอร์แกน,
คนบนนั้น,มอร์แกน,
คบกับเขาอยู่เหลยช่าย,มอร์แกน,
เจ็บคอ,มอร์แกน,
ดันให้สุด,มอร์แกน,
ตบหน้ากับตีน,มอร์แกน,
ตายไปแล้ว,มอร์แกน,
นางฟ้าขี่ควาย,มอร์แกน,
นายชูชก,มอร์แกน,
น้ำคาวปลา New Version,มอร์แกน,
น้ำตาแตก,มอร์แกน,
แบ่งลมหายใจ,มอร์แกน,
มึงอย่ายอม,มอร์แกน,
มือเปล่า,มอร์แกน,
ไม่จำเป็น,มอร์แกน,
ไม่หรอยเลย,มอร์แกน,
ยายหนูไม่สบาย,มอร์แกน,
ยิ่งโตความสุขยิ่งน้อยลง,มอร์แกน,
ยิ้ม,มอร์แกน,
รางวัลของเธอ,มอร์แกน,
ลูกผู้ชาย,มอร์แกน,
เลิกกันเลยหม้ายNew Version,มอร์แกน,
สะไภ้ vip,มอร์แกน,
หน้าพื้นๆ ยืนหนึ่งเรื่องรัก,มอร์แกน,
หลักฐานไม่เพียงพอ,มอร์แกน,
อย่าลืมกอดของเรา,มอร์แกน,
อยู่เพื่ออะไร,มอร์แกน,
ได้เพ,มอร์แกน x กอล์ฟ เดอะนีดส์,
คนจนอยู่ยาก,มอร์แกน x สเต็ปวัน,
ป่ายาง,มอร์แกน X MIKE JIBI,
หมาแม่ลูกอ่อน,มอส เมมโมรี่,
คำขอสุดท้าย,มะปิง นภาพร,
เบลอๆ,มะปิง นภาพร,
ตาลเดี่ยว,มานพ แก้วมณี,
คิดฮอดบ้าน,เมืองไพร ชัยกมล,
ไม่ลืมบ้านนอก,เมืองมนต์ สมบัติเจริญ,
รักแฟนคนเดียว,เมืองมนต์ สมบัติเจริญ,
ลุงเชยโชว์เพลง,เมืองมนต์ สมบัติเจริญ,
เศรษฐีดินปั้น,เมืองมนต์ สมบัติเจริญ,
หัวใจดื้อ,เมืองมนต์ สมบัติเจริญ,
หัวเราะไปก่อน,เมืองมนต์ สมบัติเจริญ,
อุ้มลูกตามเมีย,เมืองมนต์ สมบัติเจริญ,
เปลี่ยนเบอร์เปลี่ยนใจ,แม็กซ์ โคลัมเบีย,
เสียโง่เพราะโนเกีย,แม็กซ์ โคลัมเบีย,
จองไว้ก่อน,แมน เนรมิต,
ขาดเธอขาดใจ,ยงยุทธ เชี่ยวชาญชัย,
ขุนทองลืมกรง,ยงยุทธ เชี่ยวชาญชัย,
เจ็บใจจริง,ยงยุทธ เชี่ยวชาญชัย,
บ้านนาหน้าน้ำ,ยงยุทธ เชี่ยวชาญชัย,
รำวงแก้วตา,ยงยุทธ เชี่ยวชาญชัย,
น้ำคำลวง,ยรรเช้า เชิ้ญยิ้ม,
กรรมกรวอนแฟน,ยอดรัก สลักใจ,
กิ้งก่าได้ทอง,ยอดรัก สลักใจ,
เก้าอี้แถวหลัง,ยอดรัก สลักใจ,
ขอแค่คำรัก,ยอดรัก สลักใจ,
ขาดรักครองเรือน,ยอดรัก สลักใจ,
ขายเรือนหอ,ยอดรัก สลักใจ,
ครูประชาบาล,ยอดรัก สลักใจ,
คุณเป็นแฟนใคร,ยอดรัก สลักใจ,
ชวนน้องแต่งงาน,ยอดรัก สลักใจ,
ช่วยบอกล่วงหน้าถ้าไม่รัก,ยอดรัก สลักใจ,
เซซัง,ยอดรัก สลักใจ,
ด่วนแม่กลอง,ยอดรัก สลักใจ,
ดอกไม้ไกลมือ,ยอดรัก สลักใจ,
ดอกอ้อสุโขทัย,ยอดรัก สลักใจ,
เด็กเอ๊าะๆ,ยอดรัก สลักใจ,
ต้อยจ๋า,ยอดรัก สลักใจ,
แต่งก็ไม่บอก,ยอดรัก สลักใจ,
ทหารเรือมาแล้ว,ยอดรัก สลักใจ,
เปิดใจพูดกัน,ยอดรัก สลักใจ,
แผลที่หัวใจ,ยอดรัก สลักใจ,
แผลรักสลักใจ,ยอดรัก สลักใจ,
พ่อแก่แม่เฒ่า,ยอดรัก สลักใจ,
พ่อนาคลาแฟน,ยอดรัก สลักใจ,
แฟนใครกันหนอ,ยอดรัก สลักใจ,
แม่ม่ายรายวัน,ยอดรัก สลักใจ,
ยอดรักอกหัก,ยอดรัก สลักใจ,
ยิ้มสวัสดี,ยอดรัก สลักใจ,
รอรักครองเรือน,ยอดรัก สลักใจ,
รักครึ่งทาง,ยอดรัก สลักใจ,
รักครึ่งทาง,ยอดรัก สลักใจ,
รักน้องเมีย,ยอดรัก สลักใจ,
รักแม่หม้าย,ยอดรัก สลักใจ,
เรียนจบอะไร,ยอดรัก สลักใจ,
ลาก่อนนครศรี,ยอดรัก สลักใจ,
สาวเจ้าเสน่ห์,ยอดรัก สลักใจ,
เสน่ห์ลูกทุ่ง,ยอดรัก สลักใจ,
หนาวไหมยอดรัก,ยอดรัก สลักใจ,
หนุ่มเงินปี,ยอดรัก สลักใจ,
หยุดรักหยุดยิ้ม,ยอดรัก สลักใจ,
หัวใจไม่มีราคา,ยอดรัก สลักใจ,
หัวใจไร้รัก,ยอดรัก สลักใจ,
อยากมีเมีย,ยอดรัก สลักใจ,
อย่ายิ้มยั่วใจ,ยอดรัก สลักใจ,
อยู่ด้วยกันได้ไหม,ยอดรัก สลักใจ,
อเวจีใจ,ยอดรัก สลักใจ,
อ้อนแม่ยาย,ยอดรัก สลักใจ,
อะไรในอก,ยอดรัก สลักใจ,
อีแต๋นไอเลิฟยู,ยอดรัก สลักใจ,
เอาแน่,ยอดรัก สลักใจ,
ไอ้ตี๋ขี้เมา,ยอดรัก สลักใจ,
เจือขยมเต้า,ยาว จันริด,
เจรียงยิ่งยงสอนน้อง,ยิ่งยง ยอดบัวงาม,
ถึงเธอผู้เดียว,ยิ่งยง ยอดบัวงาม,
รักสาวซะเราะแอง,ยิ่งยง ยอดบัวงาม,
สมศรี 1992,ยิ่งยง ยอดบัวงาม,อ.
หนุ่มสุรินทร์รักสาวสุราษฎร์,ยิ่งยง ยอดบัวงาม,
ดุอาอฺ,ยิปซี ซันเดย์,
พราก,ยิปซี ซันเดย์,
ฝันที่เป็นเธอ,ยิปซี ซันเดย์ feat. มอมแมม,
3 วันดี 4 วันเจ็บ,ยิปซี วงซันเดย์,
รูู้เท่าไม่ถึงเธอ,ยิปซี วงซันเดย์,
กะป๋อง กะแป๋ง,ยิปซี วงซันเดย์ x อิท หนองแวงฮี,
ชินจัง,ยิปซี วงซันเดย์ x อิท หนองแวงฮี,
ใจร้ายเหลือเกิน,ยิ้ม สุทธิดา,
ชายเดี่ยว,ยิ้ม สุทธิดา,
ทำอย่างนี้เขาเรียกว่าแฟน,ยิ้ม สุทธิดา,
ปากแข็งใจอ่อน,ยิ้ม สุทธิดา,
ไปรักกันตอนไหน,ยิ้ม สุทธิดา,
แฟนเก่า,ยิ้ม สุทธิดา,
มีใครอยู่หรือเปล่า,ยิ้ม สุทธิดา,
มีแฟนแล้วหายไหม,ยิ้ม สุทธิดา,
ไม่เคยไม่คิดถึง,ยิ้ม สุทธิดา,
ร้องไห้หนักมาก,ยิ้ม สุทธิดา,
ลองรัก,ยิ้ม สุทธิดา,
หมดสิทธิ์สอบ,ยิ้ม สุทธิดา,
หัวใจต้องการคำตอบ,ยิ้ม สุทธิดา,
อย่ารอเช็ดเน็ตไอดอล,ยิ้ม สุทธิดา,
แก่เกินแกง,ยิว คนเขียนเพลง,
เต็มใจรัก,ยิว คนเขียนเพลง,
ยังจดจำ,ยิว คนเขียนเพลง,
รู้ว่าเธอ,ยิว คนเขียนเพลง,
หนุ่มหาดใหญ่ สาวเชียงใหม่,ยิว คนเขียนเพลง,
อยากให้รู้,ยิว คนเขียนเพลง,
ขอเพียงยกโทษ,ยุทธนา เดชโหมด,
จะรักใครดี,ยุพิน แพรทอง,
ลูกสาวกำนัน,ยุพิน แพรทอง,
ขึ้นเอ้าขึ้นเอา,ยุ้ย,
ขี้เหร่โดนรัก,ยุ้ย ญาติเยอะ,
ชัดเลย,ยุ้ย ญาติเยอะ,
พี่ทิดชิดหน่อย,ยุ้ย ญาติเยอะ,
แม่หม้ายป้ายแดง,ยุ้ย ญาติเยอะ,
รวยแล้วชอบลืม,ยุ้ย ญาติเยอะ,
แค่มดกัด,ยุ้ย ปัทมวรรณ เค้ามูลคดี,
จองไว้ก่อน,ยุ้ย ปัทมวรรณ เค้ามูลคดี,
อีกาฝักไข่,ยุรนันท์ ภมรมนตรี,
อุ้มบุญ,ยุรนันท์ ภมรมนตรี,
คิดถึงทุ่งลุยลาย,เย็นจิตร พรเทวี,
คิดถึงอีสาน,เย็นจิตร พรเทวี,
เซ็งความรู้สึก,เย็นจิตร พรเทวี,
ดำมหาเสน่ห์,เย็นจิตร พรเทวี,
พบกันชาติหน้าบ่าย,เย็นจิตร พรเทวี,
ลูกชายลุงอินทร์,เย็นจิตร พรเทวี,
สาวเมืองจันทร์,เย็นจิตร พรเทวี,
แม่หม้ายซิงๆ,เย็นจิตร พระเทวี,
เรารักพระเจ้าอยู่หัว,รวมศิลปิน ทีเอ็มจี เรคคอร์ด,
อยากมีเมีย(เพิ่ม),ร็อคแขม่ว,
แขกขายมุ้ง,ร็อคออนซอน,
แขกขายมุ้ง REMIX,ร็อคออนซอน,
แขกทวงหนี้,ร็อคออนซอน,
ครูแก่,ร็อคออนซอน,
งึดเจ้าใจดำ,ร็อคออนซอน,
เซ็นเบิ๊ดปี,ร็อคออนซอน,
เซ็นเบิ๊ดปี (remix),ร็อคออนซอน,
เต้ยรักสาวเหนือ,ร็อคออนซอน,
แต่งตัวนอน,ร็อคออนซอน,
ถึกเต๊ะลิ้นปี่,ร็อคออนซอน,
ถึงชั่วก็ผัวเธอ,ร็อคออนซอน,
นักแสวงบุญ,ร็อคออนซอน,
แนวบ่มัก,ร็อคออนซอน,
บักไว้หน้าแข้ง,ร็อคออนซอน,
ปอบผู้ใด๋,ร็อคออนซอน,
ปิดไฟซะเนาะ,ร็อคออนซอน,
ผู้ฮ้ายแต่หายาก,ร็อคออนซอน,
ม่วนหน้าฮ้าน,ร็อคออนซอน,
มหาสงกรานต์,ร็อคออนซอน,
มักสาวเซเว่น,ร็อคออนซอน,
มักสาวเสื้อดำ,ร็อคออนซอน,
เมียห่าว,ร็อคออนซอน,
ยึดมือถือ,ร็อคออนซอน,
ร็อคลำซิ่ง,ร็อคออนซอน,
รอยจูบที่เลือนราง,ร็อคออนซอน,
วิเวกวิโหวเหว,ร็อคออนซอน,
เว้าพื้นเมีย,ร็อคออนซอน,
ศิลปินยาจก,ร็อคออนซอน,
สะเดาะเคราะห์,ร็อคออนซอน,
สาวนาบาร์เบียร์,ร็อคออนซอน,
สาวแวง,ร็อคออนซอน,
สาวแหล่ใจดำ,ร็อคออนซอน,
สุดแซบอีสาน,ร็อคออนซอน,
หมอเบิ๊ดบ้าน,ร็อคออนซอน,
หัวใจพัง,ร็อคออนซอน,
อ้ายลืมเจ้าแล้ว,ร็อคออนซอน,
รักสิบล้อรอสิบโมง,รอยัลสไปรท์,
สวยในซอย,รอยัลสไปรท์,
คนจนเป็นไง,ระพิน ภูไท,
คนสวยใจดำ,ระพิน ภูไท,
คำสั่งคุณหมอ,ระพิน ภูไท,
คิดถึงพี่หน่อย,ระพิน ภูไท,ส.
คุณนายโรงแรม,ระพิน ภูไท,
จ้างก็ไม่รัก,ระพิน ภูไท,
ชุมทางเขาชุมทอง,ระพิน ภูไท,
เดี๋ยวรักเดี๋ยวลืม,ระพิน ภูไท,
ปีวอกหลอกพี่,ระพิน ภูไท,
ยังไม่พอ,ระพิน ภูไท,
ลาก่อนความโกหก,ระพิน ภูไท,
อีแม๊ะ,ระพิน ภูไท,
เอาคำว่ารักของเธอคืนไป,ระพิน ภูไท,
ฉันทนาที่รัก,รักชาติ ศิริชัย,ส.
รักข้ามคลอง,รักชาติ ศิริชัย,ส.
สาวอุดรใจดำ,รักชาติ ศิริชัย,
บ้านผมอยู่ตรัง,ราม วิมลเมือง,
รักแท้แพ้เงิน,ราม วิมลเมือง,
แปลกแต่จริง,รุ่งเพชร แหลมสิงห์,
ยิ่งโตยิ่งสวย,รุ่งเพชร แหลมสิงห์,
ราคาเท่าไหร่,รุ่งเพชร แหลมสิงห์,
แล้วแต่วาสนา,รุ่งเพชร แหลมสิงห์,
หนองน้อยปลาชุม,รุ่ง โพธาราม,
กลับนาเถิดน้อย,รุ่ง สุริยา,
รักจริงหวังแต่ง,รุ่ง สุริยา,
สัญญากับใจ,รุ่ง สุริยา,
กล่อมหอ,เรียม - ชาตรี,
แคนลำโขง,เรียม ดาราน้อย,
เรียมสารภาพ,เรียม ดาราน้อย,
เหมันต์ฉันเศร้า,เรียม ดาราน้อย,
จนกว่าวันนั้นจะผ่านไป,โรนิน,
แฟนผมอกหัก (ยำแล้ว),โรนิน,
ล้านไมล์,โรนิน,
แล้วหลาวเห้อ,โรนิน,
เวลาไม่ช่วยอะไร,โรนิน,
สัญญา(ไอไหรพันนี้),โรนิน,
หมดไฟ,โรนิน,
เหงา,โรนิน,
ไปบ้านคุณอา,โรม ศรีธรรมราช,
พรุ่งนี้พบกันที่สามแยก,โรม ศรีธรรมราช,
แฟชั่นเกี้ยวแขน,โรม ศรีธรรมราช,
ยืนคอยใคร,โรม ศรีธรรมราช,
ลูกสาวใคร,โรม ศรีธรรมราช,
สาวสะพานลอย,โรม ศรีธรรมราช,
หลวงปู่ทวดเหยียบใจ,โรม ศรีธรรมราช,อ.
คิดถึงทุ่งลุยลาย,โรส บุญเจริญ,
เซิ้งแข่งเรือ,โรส บุญเจริญ,
เตือนใจในวัยเรียน,โรส บุญเจริญ,
บ่อยากเป็นคือมอเตอร์ไซค์,โรส บุญเจริญ,
ฝากไว้ในใจอ้าย,โรส บุญเจริญ,
แม่ค้าขายผัก,โรส บุญเจริญ,
เวิร์ก,โรส บุญเจริญ,
สาวนาตกกระเทิน,โรส บุญเจริญ,
สาวราษีบ่ตีน้อง,โรส บุญเจริญ,
สาวหล่มสักสะอื้น,โรส บุญเจริญ,
สาวอีสานรอรัก,โรส บุญเจริญ,
หมาจอกฮ้องน้องสะเดิด,โรส บุญเจริญ,
กำลังใจ,ฤทธิพร อินสว่าง,
ขยี้รัก,ฤทธิพร อินสว่าง,
ความหวังความฝันของวันนี้,ฤทธิพร อินสว่าง,
เจ็บในกะลา,ฤทธิพร อินสว่าง,
ใจคนคอย,ฤทธิพร อินสว่าง,
ดั่งนกเจ็บ,ฤทธิพร อินสว่าง,
แด่คนกลางคืน,ฤทธิพร อินสว่าง,
เธอยังมีเธอ,ฤทธิพร อินสว่าง,
บัญชารัก,ฤทธิพร อินสว่าง,
เพื่อน,ฤทธิพร อินสว่าง,
ลมเหนือ,ฤทธิพร อินสว่าง,
หลงเสียงนาง,ฤทธิพร อินสว่าง,
ให้,ฤทธิพร อินสว่าง,
ไปไหนก็ไป,ล็อคอิน แบนด์,
แฟนบุญธรรม,ล็อคอิน แบนด์,
ลงมือทำคือคำตอบ,ล็อคอิน แบนด์,
อย่ามาเฟีย,ละมุน,
จับปลาสองมือ,ละอองดาว,
สาวนครชัยศรี,ละอองดาว,
สาวแม่กลอง,ละอองดาว,
หนุ่มข้างคู,ละอองดาว,
ทิดใหม่ใจร้อน,ละอองเพชร แสงพราว,
ใจเดิมพัน,ลาเต้,
ดาวอังคาร,ลาเต้,
สำเนียงสุพรรณ,ลำแดนสุพรรรณ,
โบว์แดงแสลงใจ (โบว์แดง2021),ลำไย ไหทองคำ,
ของฝากยมบาล,ลุงแนบ โกษาผล,
ลอตเตอรี่,ลุงแนบ โกษาผล,
ฮักเมียเขา,ลุงแนบ โกษาผล,
แฟนใหม่เหงาแฟนเก่าเจ็บ,ลูกคนโต,
ไม่ขอเรียกเธอว่าแฟน,ลูกคนโต,
เอาไปทำไม,ลูกคนโต,
ตกใจตื่น,ลูกคลัก+น้องโบว์,
ได้ใหม่ลืมเก่า,ลูกเจี๊ยบ ทัศนีย์,
น้ำตาหยดรดเบอร์,ลูกเจี๊ยบ ทัศนีย์,
รักสามเศร้า,ลูกเจี๊ยบ ทัศนีย์,
หยุดเสียใจเถิดน้อง,ลูกแพร-ไหมไทย,
คนเก่าเขาคงทำไว้ดี,ลูกศร,
คืนสุดท้าย,เลแบนด์,
สะสมแต้ม,เลแบนด์,
สายัณห์ สัญญา,เลแบนด์,
Search(ค้นหา),เลแบนด์,
ผู้หญิงแสนเลว,วง9สเต๊ป,
ไม่อ้อร้อได้ถ้วย,วง9สเต๊ป,
รักเขาตาย เลือกฉันอยู่,วง9สเต๊ป,
เกาหลี,วงกลม,
คนเมื่อคืน,วงกลม,
โง่เรื่องง่าย,วงกลม,
จบคนละทาง,วงกลม,
จัดหนักจัดเต็ม,วงกลม,
จับเธอแก้ผ้า,วงกลม,
จีบ,วงกลม,
ช่วยตัวเอง,วงกลม,
ดอกไม้,วงกลม,
ตลอดชีวิต,วงกลม,
ที่สองก็ยังดี,วงกลม,
เธอไม่ผ่าน,วงกลม,
บอกแล้วไม่เชื่อ,วงกลม,
บางอารมณ์,วงกลม,
ประกาศหาแฟน,วงกลม,
ปลื้ม,วงกลม,
ฝากซอง,วงกลม,
พระแสงอะไร,วงกลม,
แฟนคนใหม่,วงกลม,
มีแต่เธอ,วงกลม,
ไม่ใช่คนเจ้าชู้,วงกลม,
ไม่รักอย่าแล,วงกลม,
รอไม่ได้,วงกลม,
รักที่เธอไม่ต้องการ,วงกลม,
ร้ายก็รัก,วงกลม,
ล้างก้นให้เธอ,วงกลม,
ลืมได้ (แต่ไม่ใช่ตอนนี้),วงกลม,
ลูกบอล,วงกลม,
วงกลม,วงกลม,
วิวาห์อาลัย,วงกลม,
หมาเหมือนเดิม,วงกลม,
เหงา เศร้า หน้าต่าง,วงกลม,
เหมือนหล่อ,วงกลม,
อ้อร้อได้ถ้วย,วงกลม,
อ้อร้อสุดเบอร์,วงกลม,
อัจฉรา,วงกลม,
แอบ,วงกลม,
Rapperยาดอง,วงกลม,
ไม่ใช่ณเดช,วงกลม Feat. มโนราห์ ไพศาล,
เต็มสาวแล้วนะ,วงกลม Feat. เอกชัย ศรีวิชัย,
ถอดกางเกง,วงกลม x กางเกง,
หลักฐานไม่เพียงพอ (ชวนพวกพ้องมาร้องเพลงTMG),วงกางเกง,
ตุ๊กตาหน้ารถ,วงกามเทพ,
คนเดียว,วงกินรี,
ชายติดยา,วงกินรี,
เชื่อใจง่าย,วงกินรี,
เชื่อมั่งติ,วงกินรี,
ตอไม้,วงกินรี,
ปรารถนา,วงกินรี,
ผมไม่ใช่ฟิล์ม,วงกินรี,
ภาวนา,วงกินรี,
เรือตะกั่ว,วงกินรี,
ว้าวว้าว,วงกินรี,
สุดท้ายก็ได้เพื่อน,วงกินรี,
หนุ่ม 25,วงกินรี,
ห่างแฟน,วงกินรี,
โหม๋เด็กเพื่อนเพ,วงกินรี,
ไอ้หนุ่มช้างดาว,วงกินรี,
ไอ้หนุ่มริมคลอง,วงกินรี,
จิ๊กจก,วงเกลอ,
ห้องน้ำ,วงเกลอ,
ไอเลิฟยู ปู๊นปู๊น,วงเกลอ,
เด็กซอยสนิท,วงคาซอย,
ฉลองความโสด,วงคาเมร่า,
ช่วยกลับมา,วงคาเมร่า,
ครวญหาเสียงขลุ่ย,วงจันทร์ ไพโรจน์,
ไทรโยคแห่งความหลัง,วงจันทร์ ไพโรจน์,
แว่วเสียงซึ่ง,วงจันทร์ ไพโรจน์,
สันป่าตอง,วงจันทร์ ไพโรจน์,
สายน้ำไม่ไหลกลับ,วงจันทร์ ไพโรจน์,
สาวบ้านแพน,วงจันทร์ ไพโรจน์,
นางฟ้ามีจริง,วงแชร์,
ต่อลมหายใจ,วงซันเดย์,
เล่นเป็นควาย,วงโซแมน,
อย่าทำเป็นรัก,วงโซแมน,
ชู้หรือชั่วคราว,วงดนตรี,
โดน,วงดนตรี,
ไม่เจอกันนานนมโตขึ้นเป็นกอง,วงดนตรี,
